,S,I,R,D,P,N,C
54,0.352886623015299,0.0022560144531238746,0.6384087889062616,0.006448573625315773,0.9935514263746842,0.16559190439578075,6.587564815777595
55,0.35239581668638675,0.0018694818280435145,0.6392773544707143,0.0064573470148557,0.9935426529851443,0.16559044216419075,6.588019418909587
56,0.35198966798104553,0.0015486098224789225,0.6399971049745111,0.006464617221964758,0.9935353827780352,0.16558923046300592,6.58839688339648
57,0.35165361712485305,0.001282423525485168,0.6405933197561655,0.00647063959349662,0.9935293604065034,0.16558822673441728,6.588710075485997
58,0.35137559481562086,0.0010617255748064658,0.6410870528134773,0.006475626796095729,0.9935243732039043,0.1655873955339841,6.588969786323323
59,0.35114560057887995,0.0008788265324559564,0.6414958171597778,0.006479755728886643,0.9935202442711134,0.16558670737851894,6.589185043798661
60,0.35095535110138965,0.0007273101362133997,0.6418341653747733,0.006483173387623972,0.9935168266123761,0.16558613776872938,6.589363385081386
61,0.3507979873900215,0.0006018310168319054,0.6421141797772155,0.006486001815931469,0.9935139981840685,0.16558566636401148,6.589511092138659
62,0.3506678312260434,0.0004979417853753722,0.6423458847186958,0.006488342269885815,0.9935116577301142,0.16558527628835243,6.589633393507828
63,0.3505601828257325,0.00041194615804028523,0.6425375923060653,0.006490278710162275,0.9935097212898377,0.16558495354830632,6.589734635986259
64,0.35047115287675845,0.00034077482333199824,0.6426961915769108,0.006491880722999098,0.9935081192770009,0.16558468654616687,6.589818429938488
65,0.35039752320583983,0.00028188095184370843,0.6428273898838937,0.006493205958423167,0.9935067940415768,0.1655844656735962,6.5898877717463495
66,0.35033663126202935,0.00023315252549275178,0.6429359140503534,0.006494302162124782,0.9935056978378752,0.16558428297297925,6.589945146640754
67,0.3502862743889577,0.00019283897198385378,0.6430256777726682,0.0064952088663905875,0.9935047911336095,0.1655841318556016,6.589992614816779
68,0.35024463052598237,0.00015948990140988788,0.6430999207768819,0.00649595879572608,0.9935040412042739,0.165584006867379,6.590031883385814
69,0.3502101925390809,0.00013190403776302395,0.6431613243889247,0.006496579034231563,0.9935034209657685,0.16558390349429478,6.5900643663828316
70,0.3501817138527193,0.00010908670943902359,0.6432121074434635,0.006497091994378419,0.9935029080056216,0.16558381800093697,6.590091234736101
71,0.350158163447378,9.02145055540367e-05,0.6432541058265975,0.006497516220470682,0.9935024837795293,0.16558374729658823,6.590113457826844
72,0.35013868861582725,7.460591827822413e-05,0.6432888384112357,0.0064978670546589476,0.9935021329453411,0.16558368882422353,6.590131838019181
73,0.3501225841448905,6.169697655123761e-05,0.6433175616897728,0.006498157188785585,0.9935018428112145,0.16558364046853574,6.590147039325498
74,0.35010926681714183,5.102103564110736e-05,0.6433413150257451,0.006498397121472174,0.9935016028785278,0.16558360047975465,6.590159611186952
75,0.3500982543162467,4.2192022675791575e-05,0.6433609581244669,0.006498595536610778,0.9935014044633892,0.1655835674105649,6.5901700081904
76,0.35008914777682326,3.489055328084815e-05,0.6433772020531972,0.006498759616698962,0.993501240383301,0.16558354006388354,6.5901786064085455
77,0.35008161735011806,2.8852431487921566e-05,0.6433906349162103,0.006498895302183943,0.993501104697816,0.16558351744963604,6.590185716936407
78,0.35007539026494316,2.3859126639722278e-05,0.6434017431023331,0.006499007506084174,0.9935009924939159,0.16558349874898598,6.590191597101633
79,0.35007024095296563,1.9729889368461675e-05,0.6434109288660894,0.006499100291576662,0.9935008997084234,0.16558348328473724,6.590196459745981
80,0.3500659828817129,1.6315225866741233e-05,0.6434185248734963,0.006499177018924206,0.9935008229810758,0.165583470496846,6.590200480908154
81,0.3500624618001735,1.3491497346892861e-05,0.643424806235455,0.006499240467024799,0.9935007595329752,0.16558345992216256,6.590203806182256
82,0.35005955015280693,1.1156451300767891e-05,0.6434300004619335,0.006499292933958926,0.9935007070660411,0.16558345117767354,6.590206555979347
83,0.3500571424599444,9.225524212998572e-06,0.6434342956956843,0.006499336320158429,0.9935006636798416,0.1655834439466403,6.590208829880827
84,0.3500551514974576,7.628782839227406e-06,0.6434378475225063,0.006499372197197035,0.993500627802803,0.16558343796713385,6.590210710240027
85,0.350053505137455,6.308393959908503e-06,0.6434407846038994,0.006499401864685854,0.9935005981353141,0.16558343302255238,6.590212265161598
86,0.3500521437356601,5.21653143702665e-06,0.643443213335574,0.006499426397329032,0.993500573602671,0.16558342893377853,6.590213550966011
87,0.3500510179708955,4.31364508726931e-06,0.6434452217001773,0.006499446683840175,0.9935005533161598,0.16558342555269334,6.590214614228046
88,0.35005008705845153,3.567028886188801e-06,0.6434468824535359,0.006499463459126626,0.9935005365408733,0.16558342275681226,6.590215493462805
89,0.3500493172726485,2.94963678903499e-06,0.643448255759657,0.006499477330905628,0.9935005226690944,0.16558342044484908,6.590216220520187
90,0.35004868072508927,2.43910337472314e-06,0.6434493913698208,0.006499488801715363,0.9935005111982846,0.16558341853304748,6.590216821738144
91,0.35004815435435704,2.0169339056811083e-06,0.6434503304246201,0.006499498287117375,0.9935005017128826,0.16558341695214712,6.5902173188964746
92,0.35004771909056653,1.6678345106752767e-06,0.6434511069441737,0.00649950613074923,0.9935004938692508,0.16558341564487514,6.59021773000558
93,0.3500473591645093,1.3791582582313313e-06,0.6434517490604603,0.0064995126167723275,0.9935004873832277,0.1655834145638713,6.590218069958788
94,0.35004706153636894,1.1404470759357972e-06,0.6434522800363898,0.0064995179801655536,0.9935004820198344,0.16558341366997242,6.5902183510717816
95,0.35004681542331284,9.430529358381746e-07,0.643452719108514,0.006499522415237515,0.9935004775847625,0.16558341293079376,6.5902185835286975
96,0.3500466119088475,7.798245928060526e-07,0.6434530821838943,0.006499526082665599,0.9935004739173344,0.16558341231955576,6.590218775751026
97,0.35004644361978676,6.448485341222666e-07,0.6434533824163625,0.006499529115316793,0.9935004708846832,0.1655834118141139,6.590218934702677
98,0.3500463044591307,5.332347602562973e-07,0.6434536306830482,0.0064995316230610925,0.993500468376939,0.1655834113961565,6.5902190661422475
99,0.35004618938517823,4.4093963930982156e-07,0.6434538359784309,0.006499533696751827,0.9935004663032482,0.1655834110505414,6.590219174831626
100,0.35004609422887145,3.6461941967319754e-07,0.643454005740192,0.006499535411517091,0.993500464588483,0.16558341076474717,6.590219264708507
101,0.3500460155427548,3.015090953927905e-07,0.6434541461186686,0.006499536829481501,0.9935004631705185,0.1655834105284198,6.590219339029041
102,0.35004595047607634,2.493222367395026e-07,0.6434542621996703,0.006499538002016872,0.9935004619979831,0.16558341033299723,6.590219400485788
103,0.3500458966715078,2.0616815766818124e-07,0.6434543581887314,0.006499538971603348,0.9935004610283966,0.16558341017139946,6.590219451305276
104,0.35004585217974,1.7048341971864095e-07,0.6434544375634721,0.006499539773368406,0.9935004602266316,0.16558341003777194,6.590219493328654
105,0.3500458153888609,1.4097519114301318e-07,0.6434545031995886,0.006499540436359483,0.9935004595636405,0.16558340992727344,6.590219528078396
106,0.3500457849659572,1.1657440943806073e-07,0.6434545574750372,0.0064995409845963375,0.9935004590154036,0.16558340983590064,6.590219556813461
107,0.3500457598088235,9.639705055489656e-08,0.6434546023561849,0.006499541437941263,0.9935004585620587,0.16558340976034316,6.590219580574904
108,0.3500457390060305,7.971210170560729e-08,0.6434546394690493,0.006499541812818682,0.9935004581871814,0.1655834096978636,6.590219600223582
109,0.350045721803904,6.591507751743631e-08,0.6434546701582085,0.006499542122810189,0.9935004578771898,0.16558340964619833,6.590219616471357
110,0.35004570757922016,5.450612009270758e-08,0.6434546955355133,0.006499542379146601,0.9935004576208534,0.16558340960347556,6.590219629906875
111,0.3500456958166262,4.507188958805167e-08,0.6434547165203695,0.006499542591114846,0.9935004574088852,0.16558340956814754,6.5902196410168985
112,0.3500456860899695,3.7270589243321624e-08,0.643454733873047,0.006499542766394416,0.9935004572336056,0.16558340953893427,6.590219650203935
113,0.3500456780468584,3.08195823420595e-08,0.6434547482222238,0.006499542911335597,0.9935004570886644,0.1655834095147774,6.590219657800828
114,0.3500456713958951,2.5485152484232465e-08,0.643454760087763,0.006499543031189528,0.9935004569688105,0.16558340949480177,6.590219664082808
115,0.35004566589611874,2.1074036199304846e-08,0.6434547698995468,0.006499543130298454,0.9935004568697016,0.1655834094782836,6.590219669277467
116,0.3500456613482753,1.7426421136125032e-08,0.6434547780130507,0.00649954321225304,0.993500456787747,0.16558340946462452,6.590219673573003
117,0.3500456575875987,1.4410156161444809e-08,0.6434547847222228,0.006499543280022456,0.9935004567199776,0.1655834094533296,6.590219677125043
118,0.35004565447784164,1.1915963604515226e-08,0.643454790270133,0.006499543336061952,0.993500456663938,0.1655834094439897,6.590219680062278
119,0.3500456519063392,9.853480191619029e-09,0.643454794857779,0.00649954338240181,0.9935004566175982,0.1655834094362664,6.590219682491118
120,0.3500456497799272,8.147983236848672e-09,0.6434547986513689,0.006499543420720899,0.9935004565792791,0.16558340942987987,6.59021968449956
121,0.3500456480215668,6.737683481536376e-09,0.6434548017883425,0.0064995434524075,0.9935004565475924,0.16558340942459876,6.590219686160371
122,0.35004564656755355,5.571486503869406e-09,0.6434548043823506,0.0064995434786096025,0.9935004565213904,0.16558340942023175,6.590219687533719
123,0.35004564536520927,4.607141596101036e-09,0.6434548065273729,0.006499543500276495,0.9935004564997235,0.1655834094166206,6.590219688669359
124,0.35004564437097363,3.80971104439656e-09,0.6434548083011223,0.006499543518193157,0.9935004564818068,0.1655834094136345,6.5902196896084355
